# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
57580.65527 57587.65527 6.10101e-08 2.36322e-08 14.13600
57587.65527 57594.65527 2.06741e-07 3.88332e-08 101.06000
57594.65527 57601.65527 9.34521e-08 2.60411e-08 34.92520
57608.65527 57615.65527 1.14393e-07 2.57354e-08 60.64650
57615.65527 57622.65527 8.96286e-08 2.39010e-08 28.12110
57622.65527 57629.65527 4.55572e-08 1.95558e-08 14.08830
57629.65527 57636.65527 6.64499e-08 2.39601e-08 14.67020
57636.65527 57643.65527 2.82246e-10 4.33183e-09 0.00027
57643.65527 57650.65527 2.56919e-08 2.01197e-08 2.84217
57650.65527 57657.65527 3.09326e-08 1.90168e-08 4.44095
57657.65527 57664.65527 2.45588e-12 7.01752e-14 -0.00012
57664.65527 57671.65527 1.05849e-08 1.62331e-08 0.57403
57671.65527 57678.65527 3.65968e-08 2.20265e-08 4.57951
57678.65527 57685.65527 1.98669e-08 1.83214e-08 4.47325
57685.65527 57692.65527 8.97650e-08 3.14324e-08 21.42380
57692.65527 57699.65527 1.16656e-07 2.97771e-08 40.19650
57699.65527 57706.65527 6.82956e-08 2.78183e-08 15.21010
57706.65527 57713.65527 1.56778e-07 2.83241e-08 112.31600
57713.65527 57720.65527 2.61217e-07 3.55212e-08 198.02600
57720.65527 57727.65527 2.23875e-07 3.26661e-08 165.14700
57727.65527 57734.65527 1.75642e-07 2.90692e-08 121.83000
57734.65527 57741.65527 1.87377e-07 3.46192e-08 89.20840
57741.65527 57748.65527 3.26493e-07 4.21061e-08 216.96900
57748.65527 57755.65527 3.94844e-07 4.57478e-08 306.97700
57755.65527 57762.65527 1.93125e-07 3.49302e-08 101.39700
57762.65527 57769.65527 1.17692e-07 2.77435e-08 48.39930
57769.65527 57776.65527 1.54731e-07 2.76845e-08 126.67000
57776.65527 57783.65527 8.23855e-08 2.39762e-08 35.57320
57783.65527 57790.65527 8.50438e-08 2.27182e-08 45.09150
57790.65527 57797.65527 1.39069e-07 3.02980e-08 53.74370
57797.65527 57804.65527 7.82955e-08 2.58537e-08 22.80830
57804.65527 57811.65527 1.20317e-07 2.89570e-08 43.17520
57811.65527 57818.65527 4.51698e-08 1.84610e-08 19.04940
57818.65527 57825.65527 7.99867e-08 2.52072e-08 24.66610
57825.65527 57832.65527 5.61222e-08 2.16001e-08 13.52620
57832.65527 57839.65527 2.53084e-08 1.78001e-08 3.14183
57839.65527 57846.65527 3.48087e-08 2.04600e-08 6.48767
57846.65527 57853.65527 2.77729e-08 1.17275e-08 9.01289
57853.65527 57860.65527 3.36434e-08 2.15028e-08 3.60638
57860.65527 57867.65527 2.24737e-08 1.80398e-08 4.29940
57867.65527 57874.65527 6.29503e-08 2.37692e-08 13.03950
57874.65527 57881.65527 1.32584e-07 2.80347e-08 57.83640
57881.65527 57888.65527 3.92326e-07 4.12306e-08 300.52800
57888.65527 57895.65527 2.64803e-07 3.44764e-08 215.74500
57895.65527 57902.65527 1.95804e-07 3.52959e-08 94.01730
57902.65527 57909.65527 1.27360e-07 3.12636e-08 46.55770
57909.65527 57916.65527 1.33033e-07 3.00963e-08 71.79130
57916.65527 57923.65527 1.56078e-07 3.34534e-08 66.32370
57923.65527 57930.65527 1.25828e-07 2.69094e-08 60.60720
57930.65527 57937.65527 1.63085e-07 3.50764e-08 65.22070
57937.65527 57944.65527 1.39983e-07 2.63274e-08 111.73300
57944.65527 57951.65527 6.99433e-07 5.26555e-08 757.85400
57951.65527 57958.65527 8.27436e-07 6.12241e-08 822.29800
57958.65527 57965.65527 2.63647e-07 3.84727e-08 167.64000
57965.65527 57972.65527 1.75510e-07 3.44472e-08 76.27330
57972.65527 57979.65527 1.54521e-07 2.85756e-08 93.62350
57979.65527 57986.65527 1.77291e-07 3.08059e-08 115.05100
57986.65527 57993.65527 1.17333e-07 2.63557e-08 59.19960
57993.65527 58000.65527 1.53219e-07 2.88154e-08 98.79800
58000.65527 58007.65527 1.61202e-07 3.06250e-08 85.61220
58007.65527 58014.65527 1.07221e-07 3.46957e-08 29.30140
58014.65527 58021.65527 1.36825e-07 3.02002e-08 57.21000
58021.65527 58028.65527 3.67804e-07 4.18823e-08 274.90000
58028.65527 58035.65527 3.43638e-07 3.95453e-08 257.08500
58035.65527 58042.65527 5.10739e-07 4.92731e-08 430.36000
58042.65527 58049.65527 8.24468e-07 5.51906e-08 1021.93000
58049.65527 58056.65527 1.10977e-06 6.30820e-08 1455.12000
58056.65527 58063.65527 1.86677e-06 7.75469e-08 2941.26000
58063.65527 58070.65527 1.76893e-06 7.22458e-08 3138.28000
58070.65527 58077.65527 1.29066e-06 6.20465e-08 2107.22000
58077.65527 58084.65527 1.35841e-06 6.36777e-08 2189.39000
58084.65527 58091.65527 1.14485e-06 6.18520e-08 1636.10000
58091.65527 58098.65527 1.23958e-06 6.52902e-08 1735.77000
58098.65527 58105.65527 1.64151e-06 7.06943e-08 2941.90000
58105.65527 58112.65527 9.11501e-07 5.57637e-08 1298.16000
58112.65527 58119.65527 4.53616e-07 4.31932e-08 442.05900
58119.65527 58126.65527 4.54845e-07 4.54451e-08 401.74400
58126.65527 58133.65527 6.35970e-07 4.98319e-08 698.41700
58133.65527 58140.65527 4.85075e-07 6.35192e-08 229.55800
58140.65527 58147.65527 2.80071e-07 4.21832e-08 143.87900
58147.65527 58154.65527 1.18882e-07 5.62718e-08 9.59203
58154.65527 58161.65527 2.09883e-07 3.61675e-08 110.19800
58161.65527 58168.65527 4.30622e-07 4.58932e-08 356.48100
58168.65527 58175.65527 4.83690e-07 4.76356e-08 465.97900
58175.65527 58182.65527 4.42392e-07 4.63659e-08 368.40000
58182.65527 58189.65527 2.09575e-07 3.63332e-08 118.23000
58189.65527 58196.65527 2.52769e-07 8.53749e-08 27.20840
58210.65527 58217.65527 2.68530e-07 1.82400e-07 5.47957
58217.65527 58224.65527 6.85762e-07 7.78664e-08 339.71100
58224.65527 58231.65527 3.79742e-07 5.38879e-08 181.18700
58231.65527 58238.65527 6.06489e-07 1.08909e-07 126.40800
58238.65527 58245.65527 5.06955e-07 3.15216e-08 960.60400
58245.65527 58252.65527 7.61963e-07 4.04414e-08 1575.84000
58252.65527 58259.65527 7.87751e-07 1.30210e-07 159.94500
58259.65527 58266.65527 5.91752e-07 3.61677e-08 1108.17000
58266.65527 58273.65527 3.16682e-07 3.29532e-08 331.85600
58273.65527 58280.65527 2.68053e-07 3.28224e-08 233.57900
58280.65527 58287.65527 2.20709e-07 4.87468e-08 66.06840
58287.65527 58294.65527 1.67809e-07 2.27351e-08 181.95600
58294.65527 58301.65527 2.76691e-08 6.60386e-08 0.24575
58301.65527 58308.65527 1.18799e-07 3.47848e-08 33.41200
58308.65527 58315.65527 1.51259e-07 2.46254e-08 117.27400
58315.65527 58322.65527 1.26064e-07 2.55978e-08 69.90730
58322.65527 58329.65527 1.51549e-07 3.60714e-08 54.77030
58329.65527 58336.65527 4.09619e-07 4.22883e-08 336.75400
58336.65527 58343.65527 1.71366e-07 2.64487e-08 141.25600
58343.65527 58350.65527 5.26870e-08 3.31794e-08 3.80214
58350.65527 58357.65527 7.19816e-08 7.17781e-08 3.93161
58357.65527 58364.65527 1.14203e-07 5.65465e-08 13.34450
58364.65527 58371.65527 3.18412e-07 1.50550e-07 13.94670
58371.65527 58378.65527 1.59896e-07 3.07268e-08 78.05770
58378.65527 58385.65527 1.44945e-07 2.90581e-08 67.06140
58385.65527 58392.65527 1.22942e-07 2.49015e-08 59.78700
58392.65527 58399.65527 1.59598e-07 2.87459e-08 87.67840
58413.65527 58420.65527 1.95469e-07 2.73666e-08 203.21300
58420.65527 58427.65527 2.57083e-07 4.58579e-08 101.65300
58434.65527 58441.65527 3.46111e-07 7.05518e-08 79.13520
58441.65527 58448.65527 1.91578e-07 2.64371e-08 157.52800
58448.65527 58455.65527 3.43149e-07 3.65919e-08 324.72300
58455.65527 58462.65527 2.71086e-07 3.22429e-08 267.24700
