# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
55347.65527 55354.65527 3.12115e-07 3.80079e-08 226.74500
55354.65527 55361.65527 2.70134e-07 3.57815e-08 205.79900
55361.65527 55368.65527 4.82099e-07 5.09867e-08 399.37500
55368.65527 55375.65527 3.84749e-07 3.97010e-08 391.39200
55375.65527 55382.65527 3.66971e-07 4.24872e-08 327.28900
55382.65527 55389.65527 1.52384e-07 2.78627e-08 97.60830
55389.65527 55396.65527 1.07333e-07 2.46999e-08 66.12080
55396.65527 55403.65527 1.22985e-07 2.71919e-08 67.13200
55403.65527 55410.65527 1.19067e-07 2.82780e-08 45.68080
55410.65527 55417.65527 1.90692e-07 3.38414e-08 98.91820
55417.65527 55424.65527 4.49273e-07 4.38555e-08 378.29300
55424.65527 55431.65527 7.70849e-07 5.43710e-08 915.19500
55431.65527 55438.65527 9.63437e-07 6.00661e-08 1133.63000
55438.65527 55445.65527 5.86725e-07 4.80219e-08 641.26900
55445.65527 55452.65527 3.81959e-07 4.16125e-08 343.17500
55452.65527 55459.65527 2.88160e-07 4.02553e-08 183.38800
55459.65527 55466.65527 2.92660e-07 4.72898e-08 121.90800
55466.65527 55473.65527 3.82794e-07 4.31286e-08 295.89400
55473.65527 55480.65527 3.09635e-07 3.87458e-08 276.13300
55480.65527 55487.65527 2.14386e-07 3.33477e-08 158.23500
55487.65527 55494.65527 2.21767e-07 3.43215e-08 153.36000
55494.65527 55501.65527 1.86536e-07 2.92162e-08 144.76800
55501.65527 55508.65527 1.84292e-07 3.18583e-08 114.39400
55508.65527 55515.65527 2.13780e-07 3.65164e-08 97.19990
55515.65527 55522.65527 2.16670e-07 3.85525e-08 95.58520
55522.65527 55529.65527 1.69083e-07 3.19056e-08 77.77180
55529.65527 55536.65527 2.99419e-07 3.53801e-08 294.30000
55536.65527 55543.65527 4.43570e-07 4.18471e-08 498.16400
